Sampling Feature: Manitou Exp. Forest Tower
Sensor Name:,LICOR_LI-190SA-50,EnviroDIY_Mayfly Data Logger,EnviroDIY_Mayfly Data Logger
Variable Name:,PAR,Battery_Voltage,Board_Temp_C
Result Unit:,umol s^-1 m^-2,volt,degreeCelsius
Date and Time in MST (UTC-7),PPFD,Battery voltage,Temperature
2021-05-09 17:47:00, 25.67,4.15,8.8
2021-05-09 17:48:00, 25.67,4.15,8.8
2021-05-09 17:49:00, 25.67,4.15,8.8
2021-05-09 17:50:00, 23.33,4.15,8.8
2021-05-09 17:51:00, 23.33,4.15,8.8
2021-05-09 17:52:00, 21.00,4.15,9.0
2021-05-09 17:53:00, 18.67,4.15,8.8
2021-05-09 17:54:00, 18.67,4.15,8.8
2021-05-09 17:55:00, 18.67,4.15,8.8
2021-05-09 17:56:00, 18.67,4.15,8.8
2021-05-09 17:57:00, 18.67,4.15,8.8
2021-05-09 17:58:00, 18.67,4.15,8.8
2021-05-09 17:59:00, 16.33,4.15,8.5
2021-05-09 18:00:00, 16.33,4.15,8.5
2021-05-09 18:01:00, 14.00,4.15,8.5
2021-05-09 18:02:00, 14.00,4.15,8.5
2021-05-09 18:03:00, 14.00,4.15,8.5
2021-05-09 18:04:00, 14.00,4.15,8.5
2021-05-09 18:05:00, 11.67,4.15,8.5
2021-05-09 18:06:00, 11.67,4.15,8.5
2021-05-09 18:07:00, 11.67,4.15,8.5
2021-05-09 18:08:00, 11.67,4.15,8.5
2021-05-09 18:09:00, 11.67,4.15,8.5
2021-05-09 18:10:00,  9.33,4.15,8.5
2021-05-09 18:11:00,  9.33,4.15,8.5
2021-05-09 18:12:00,  9.33,4.15,8.5
2021-05-09 18:13:00,  9.33,4.15,8.5
2021-05-09 18:14:00,  9.33,4.15,8.5
2021-05-09 18:15:00,  9.33,4.15,8.5
2021-05-09 18:16:00,  9.33,4.15,8.5
2021-05-09 18:17:00,  7.00,4.15,8.3
2021-05-09 18:18:00,  7.00,4.15,8.5
2021-05-09 18:19:00,  7.00,4.15,8.5
2021-05-09 18:20:00,  7.00,4.15,8.5
2021-05-09 18:21:00,  7.00,4.15,8.5
2021-05-09 18:22:00,  7.00,4.15,8.3
2021-05-09 18:23:00,  7.00,4.15,8.3
2021-05-09 18:24:00,  7.00,4.15,8.3
2021-05-09 18:25:00,  7.00,4.15,8.3
2021-05-09 18:26:00,  7.00,4.15,8.3
2021-05-09 18:27:00,  7.00,4.15,8.3
2021-05-09 18:28:00,  7.00,4.15,8.3
2021-05-09 18:29:00,  7.00,4.15,8.3
2021-05-09 18:30:00,  4.67,4.15,8.3
2021-05-09 18:31:00,  4.67,4.15,8.3
2021-05-09 18:32:00,  4.67,4.15,8.3
2021-05-09 18:33:00,  4.67,4.15,8.3
2021-05-09 18:34:00,  4.67,4.15,8.3
2021-05-09 18:35:00,  4.67,4.15,8.3
2021-05-09 18:36:00,  4.67,4.15,8.3
2021-05-09 18:37:00,  4.67,4.15,8.3
2021-05-09 18:38:00,  4.67,4.15,8.3
2021-05-09 18:39:00,  4.67,4.15,8.3
2021-05-09 18:40:00,  4.67,4.15,8.3
2021-05-09 18:41:00,  2.33,4.15,8.3
2021-05-09 18:42:00,  2.33,4.15,8.3
